current_action,actual_next_action,top1_hit,top3_hit,train_probability
Connexion,Partager un justificatif du PACS,0,0,0.019432522651406773
Signature électronique d'un mandat sepa,Renvoi carte TP papier,0,0,0.007137192704203013
Signature électronique d'un mandat sepa,Renvoi carte TP papier,0,0,0.007137192704203013
Connexion,Envoi d'une réclamation,0,0,0.012994754411063424
Envoi carte TP par mail,Changer ses informations personnel,0,0,0.008215962441314555
Téléchargement de la carte de tiers payant,Partager un justificatif du PACS,0,0,0.004805125467164976
Connexion SSO,Contactez nous : via message (Mes cotisations),0,0,0.004582484725050916
Connexion,Téléchargement carte TP,0,0,0.013471626132570339
Connexion,Envoi d'une réclamation,0,0,0.012994754411063424
Connexion,Changer l'organisme de rattachement sécu. Social,0,0,0.010848831664282308
Changer l'organisme de rattachement sécu. Social,Contactez nous : via message (Mes garanties),0,0,0.0004780114722753346
Contactez nous : via message (Mes garanties),Ouverture d'un document contractuel,0,0,0.007905138339920948
Connexion,Contactez nous : via message (Mes cotisations),0,0,0.002384358607534573
Signature électronique d'un mandat sepa,Télécharger un décompte,0,0,0.003965107057890563
Exporter remboursement,Partager un justificatif du PACS,0,0,0.012939521800281293
Connexion,demander un renvoi par mail d'échéancier,0,0,0.008583690987124463
Changer ses informations personnel,Signature électronique d'un mandat sepa,0,0,0.014166666666666666
Validation MFA,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",0,0,0.018708647045402694
Ouverture d'un document contractuel,Envoi d'une réclamation,0,0,0.005620406398616515
Connexion SSO,demander un renvoi par mail d'échéancier,0,0,0.014511201629327902
Partager un justificatif du PACS,Envoi d'un message,0,0,0.011556764106050306
Connexion,Déconnexion,0,0,0.007272293752980448
Changer les coordonnées bancaire,Partager un justificatif du PACS,0,0,0.011733333333333333
Partager un justificatif du PACS,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",0,0,0.008837525492861998
Télécharger un décompte,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",0,0,0.0037105751391465678
"Changer les coordonnées bancaire, changement de RIB pour les cotisations",Ouverture d'un document contractuel,0,0,0.015817223198594025
Connexion,Envoi d'un message,0,0,0.00798760133524082
Télécharger le certificat d'adhésion,Renvoi carte TP papier,0,0,0.01764705882352941
Ouverture d'un document contractuel,Télécharger le certificat d'adhésion,0,0,0.01297016861219196
Télécharger le certificat d'adhésion,Renvoi carte TP papier,0,0,0.01764705882352941
Renvoi carte TP papier,Télécharger le certificat d'adhésion,0,0,0.017527675276752766
Télécharger le certificat d'adhésion,Téléchargement carte TP,0,0,0.01764705882352941
Exporter remboursement,Téléchargement carte TP,0,0,0.008157524613220815
Connexion SSO,Contactez nous : via message (Mes garanties),0,0,0.006364562118126273
Connexion SSO,SSO Disconnect,0,0,0.017820773930753563
Changer les coordonnées bancaire,Envoi carte TP par mail,0,0,0.005866666666666667
Changement de Mot de passe,Télécharger le certificat d'adhésion,0,0,0.0075046904315197
Connexion SSO,"Changer les coordonnées bancaire, changement de RIB pour les remboursements",0,0,0.017566191446028515
Connexion SSO,SSO Disconnect,0,0,0.017820773930753563
Connexion,Changer les coordonnées bancaire,0,0,0.014425369575584168
Connexion SSO,Contactez nous : via message (Mes prises en charge/devis),0,0,0.004837067209775967
Changer ses informations personnel,Téléchargement de la carte de tiers payant,0,0,0.008055555555555555
Connexion SSO,Contactez nous : via message (Mes garanties),0,0,0.006364562118126273
Connexion,demander un renvoi par mail d'échéancier,0,0,0.008583690987124463
Connexion SSO,SSO Disconnect,0,0,0.017820773930753563
Connexion SSO,"Contactez nous : via message (Mon adhésion, Autres)",0,0,0.007892057026476579
"Contactez nous : via message (Mon adhésion, Autres)",demander un renvoi par mail d'échéancier,0,0,0.01937984496124031
Connexion,Télécharger le certificat d'adhésion,0,0,0.012756318550309967
Connexion,Signature électronique d'un mandat sepa,0,0,0.016571292322365285
Téléchargement de la carte de tiers payant,Partager un justificatif du PACS,0,0,0.004805125467164976
Ouverture d'un document contractuel,Changer les coordonnées bancaire,0,0,0.01772589710332901
Changer l'organisme de rattachement sécu. Social,Envoi d'un document,0,0,0.019120458891013385
Connexion SSO,demander un renvoi par mail d'échéancier,0,0,0.014511201629327902
Connexion SSO,demander un renvoi par mail d'échéancier,0,0,0.014511201629327902
demander un renvoi par mail d'échéancier,Renvoi carte TP papier,0,0,0.006048387096774193
Validation MFA,Envoi d'un message,0,0,0.015058179329226557
Connexion en tant que,Télécharger le certificat d'adhésion,0,0,0.009086778736937756
Télécharger le certificat d'adhésion,Téléchargement carte TP,0,0,0.01764705882352941
Exporter remboursement,Envoi d'un message,0,0,0.001969057665260197
Signature électronique d'un mandat sepa,Ouverture d'un document contractuel,0,0,0.015331747290510176
Connexion,envoi d'une demande de résiliation,0,0,0.01072961373390558
Connexion en tant que,Téléchargement carte TP,0,0,0.009995456610631531
Connexion SSO,SSO Disconnect,0,0,0.017820773930753563
Connexion,Téléchargement carte TP,0,0,0.013471626132570339
Changer les coordonnées bancaire,Télécharger un décompte,0,0,0.005333333333333333
Exporter remboursement,Ouverture d'un document contractuel,0,0,0.015189873417721518
Signature électronique d'un mandat sepa,Ouverture d'un document contractuel,0,0,0.015331747290510176
Exporter remboursement,Changer les coordonnées bancaire,0,0,0.00450070323488045
Connexion,envoi d'une demande de résiliation,0,0,0.01072961373390558
Validation MFA,demander un renvoi par mail d'échéancier,0,0,0.016655258955053615
Validation MFA,"Changer les coordonnées bancaire, changement de RIB pour les remboursements",0,0,0.018024184348619667
Signature électronique d'un mandat sepa,Partager un justificatif du PACS,0,0,0.010837959291567539
Validation MFA,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",0,0,0.018708647045402694
Validation MFA,demander un renvoi par mail d'échéancier,0,0,0.016655258955053615
Exporter remboursement,Envoi d'un document,0,0,0.018565400843881856
Exporter remboursement,Signature électronique d'un mandat sepa,0,0,0.007032348804500703
"Changer les coordonnées bancaire, changement de RIB pour les remboursements",Ouverture d'un document contractuel,0,0,0.014314928425357873
Connexion,Envoi d'un message,0,0,0.00798760133524082
Envoi d'un message,Exporter remboursement,0,0,0.00663716814159292
Connexion SSO,demander un renvoi par mail d'échéancier,0,0,0.014511201629327902
demander un renvoi par mail d'échéancier,Envoi d'un message,0,0,0.016129032258064516
Validation MFA,Contactez nous : via message (Mes garanties),0,0,0.012092174309833448
Contactez nous : via message (Mes garanties),demander un renvoi par mail d'échéancier,0,0,0.019762845849802372
Connexion en tant que,Télécharger le certificat d'adhésion,0,0,0.009086778736937756
Validation MFA,"Changer les coordonnées bancaire, changement de RIB pour les remboursements",0,0,0.018024184348619667
Signature électronique d'un mandat sepa,Partager un justificatif du PACS,0,0,0.010837959291567539
Exporter remboursement,Envoi d'un document,0,0,0.018565400843881856
Exporter remboursement,Envoi d'un document,0,0,0.018565400843881856
Exporter remboursement,Téléchargement de la carte de tiers payant,0,0,0.016877637130801686
Ouverture d'un document contractuel,"Changer les coordonnées bancaire, changement de RIB pour les remboursements",0,0,0.006917423259835711
Connexion,demander un renvoi par mail d'échéancier,0,0,0.008583690987124463
Signature électronique d'un mandat sepa,Changer ses informations personnel,0,0,0.015331747290510176
Exporter remboursement,Changer les coordonnées bancaire,0,0,0.00450070323488045
Connexion en tant que,SSO Disconnect,0,0,0.016810540663334848
Connexion,Signature électronique d'un mandat sepa,0,0,0.016571292322365285
Signature électronique d'un mandat sepa,Changement de Mot de passe,0,0,0.007137192704203013
Exporter remboursement,Envoi d'un document,0,0,0.018565400843881856
Ouverture d'un document contractuel,Changer les coordonnées bancaire,0,0,0.01772589710332901
Connexion,Signature électronique d'un mandat sepa,0,0,0.016571292322365285
Envoi d'un document,demander un renvoi par mail d'échéancier,0,0,0.005496518871381458
Changement de Mot de passe,Télécharger le certificat d'adhésion,0,0,0.0075046904315197
Ouverture d'un document contractuel,Télécharger le certificat d'adhésion,0,0,0.01297016861219196
Exporter remboursement,Changement de Mot de passe,0,0,0.015471167369901548
Validation MFA,"Changer les coordonnées bancaire, changement de RIB pour les remboursements",0,0,0.018024184348619667
envoi d'une demande de résiliation,"Contactez nous : via message (Mon adhésion, Autres)",0,0,0.00423728813559322
Exporter remboursement,Changement de Mot de passe,0,0,0.015471167369901548
Connexion SSO,Contactez nous : via message (Mes garanties),0,0,0.006364562118126273
Téléchargement de la carte de tiers payant,demander un renvoi par mail d'échéancier,0,0,0.001601708489054992
Validation MFA,Envoi d'un message,0,0,0.015058179329226557
Connexion,Signature électronique d'un mandat sepa,0,0,0.016571292322365285
Connexion en tant que,Envoi carte TP par mail,0,0,0.017719218537028625
Ouverture d'un document contractuel,Changer l'organisme de rattachement sécu. Social,0,0,0.012537829658452227
Connexion SSO,Envoi d'un message,0,0,0.012983706720977596
Envoi d'un message,Envoi d'un document,0,0,0.015486725663716814
Connexion,envoi d'une demande de résiliation,0,0,0.01072961373390558
Connexion en tant que,Envoi d'une réclamation,0,0,0.005906406179009541
Envoi d'une réclamation,Exporter remboursement,0,0,0.019101123595505618
Exporter remboursement,Envoi d'une réclamation,0,0,0.004781997187060478
Envoi d'une réclamation,Exporter remboursement,0,0,0.019101123595505618
Exporter remboursement,Envoi d'une réclamation,0,0,0.004781997187060478
Envoi d'une réclamation,Exporter remboursement,0,0,0.019101123595505618
Exporter remboursement,Envoi d'une réclamation,0,0,0.004781997187060478
Envoi d'une réclamation,Exporter remboursement,0,0,0.019101123595505618
Exporter remboursement,Envoi d'une réclamation,0,0,0.004781997187060478
Envoi d'une réclamation,Exporter remboursement,0,0,0.019101123595505618
Connexion,Contactez nous : via message (Ma télétransmission - rattachement automatique avec votre Régime Obligatoire),0,0,0.0004768717215069146
Connexion SSO,Envoi d'un message,0,0,0.012983706720977596
Envoi d'un message,envoi d'une demande de résiliation,0,0,0.017699115044247787
Connexion SSO,Contactez nous : via message (Mes cotisations),0,0,0.004582484725050916
Contactez nous : via message (Mes cotisations),Contactez nous : via message (Ma carte tiers-payant),0,0,0.013333333333333334
Contactez nous : via message (Ma carte tiers-payant),Télécharger le certificat d'adhésion,0,0,0.0
Validation MFA,Contactez nous : via message (Mes cotisations),0,0,0.005019393109742185
Changer l'organisme de rattachement sécu. Social,Changement de Mot de passe,0,0,0.0019120458891013384
Connexion,Envoi d'une réclamation,0,0,0.012994754411063424
Envoi d'une réclamation,Ouverture d'un document contractuel,0,0,0.017977528089887642
Partager un justificatif du PACS,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",0,0,0.008837525492861998
Téléchargement de la carte de tiers payant,Changer ses informations personnel,0,0,0.015483182060864922
Connexion,demander un renvoi par mail d'échéancier,0,0,0.008583690987124463
demander un renvoi par mail d'échéancier,Contactez nous : via message (Mes garanties),0,0,0.008064516129032258
Validation MFA,Envoi carte TP par mail,0,0,0.019849418206707735
Validation MFA,Envoi carte TP par mail,0,0,0.019849418206707735
Connexion,Renvoi carte TP papier,0,0,0.012994754411063424
Changer l'organisme de rattachement sécu. Social,Téléchargement de la carte de tiers payant,0,0,0.004302103250478011
Connexion,Changer les coordonnées bancaire,0,0,0.014425369575584168
Changer ses informations personnel,Envoi carte TP par mail,0,0,0.0030555555555555557
Connexion,"Changer les coordonnées bancaire, changement de RIB pour les remboursements",0,0,0.008702908917501192
Changer ses informations personnel,Changer les coordonnées bancaire,0,0,0.015
Changer les coordonnées bancaire,Ouverture d'un document contractuel,0,0,0.014933333333333333
Connexion en tant que,Exporter remboursement,0,0,0.019082235347569285
Ouverture d'un document contractuel,Renvoi carte TP papier,0,0,0.01340250756593169
Renvoi carte TP papier,Télécharger le certificat d'adhésion,0,0,0.017527675276752766
Télécharger le certificat d'adhésion,Renvoi carte TP papier,0,0,0.01764705882352941
Renvoi carte TP papier,Télécharger le certificat d'adhésion,0,0,0.017527675276752766
Ouverture d'un document contractuel,Télécharger le certificat d'adhésion,0,0,0.01297016861219196
Envoi d'un document,Renvoi carte TP papier,0,0,0.010260168559912056
Renvoi carte TP papier,Télécharger le certificat d'adhésion,0,0,0.017527675276752766
Téléchargement de la carte de tiers payant,Changer l'organisme de rattachement sécu. Social,0,0,0.004271222637479978
Connexion,Contactez nous : via message (Mes garanties),0,0,0.004649499284692418
Connexion en tant que,envoi d'une demande de résiliation,0,0,0.004543389368468878
envoi d'une demande de résiliation,Télécharger un décompte,0,0,0.014124293785310734
Changer ses informations personnel,Changer l'organisme de rattachement sécu. Social,0,0,0.0022222222222222222
Connexion,Télécharger le certificat d'adhésion,0,0,0.012756318550309967
Validation MFA,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",0,0,0.018708647045402694
Connexion,Téléchargement carte TP,0,0,0.013471626132570339
Téléchargement carte TP,Envoi d'un document,0,0,0.016037735849056604
Envoi d'un document,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",0,0,0.007695126419934042
Téléchargement de la carte de tiers payant,Changer ses informations personnel,0,0,0.015483182060864922
Changement de Mot de passe,Télécharger un décompte,0,0,0.01876172607879925
Validation MFA,Contactez nous : via message (Mes cotisations),0,0,0.005019393109742185
Connexion SSO,"Changer les coordonnées bancaire, changement de RIB pour les remboursements",0,0,0.017566191446028515
Changer l'organisme de rattachement sécu. Social,Contactez nous : via message (Mes prises en charge/devis),0,0,0.0004780114722753346
Télécharger un décompte,Renvoi carte TP papier,0,0,0.011595547309833023
Connexion SSO,Contactez nous : via message (Mes prises en charge/devis),0,0,0.004837067209775967
Validation MFA,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",0,0,0.018708647045402694
Exporter remboursement,Renvoi carte TP papier,0,0,0.00590717299578059
Partager un justificatif du PACS,demander un renvoi par mail d'échéancier,0,0,0.0020394289598912306
Ouverture d'un document contractuel,Changement de Mot de passe,0,0,0.01599654128837008
Ouverture d'un document contractuel,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",0,0,0.00864677907479464
Connexion,Télécharger le certificat d'adhésion,0,0,0.012756318550309967
Connexion,Contactez nous : via message (Ma carte tiers-payant),0,0,0.001072961373390558
Connexion,Changer les coordonnées bancaire,0,0,0.014425369575584168
"Changer les coordonnées bancaire, changement de RIB pour les remboursements","Changer les coordonnées bancaire, changement de RIB de bénéficiaire",0,0,0.017382413087934562
Connexion SSO,demander un renvoi par mail d'échéancier,0,0,0.014511201629327902
Changer l'organisme de rattachement sécu. Social,Ouverture d'un document contractuel,0,0,0.0124282982791587
Connexion,Changer l'organisme de rattachement sécu. Social,0,0,0.010848831664282308
Changer l'organisme de rattachement sécu. Social,Ajout de la carte tiers payant dans le wallet,0,0,0.0009560229445506692
Partager un justificatif du PACS,"Changer les coordonnées bancaire, changement de RIB pour les remboursements",0,0,0.008157715839564922
Connexion,Contactez nous : via message (Mes cotisations),0,0,0.002384358607534573
Connexion,envoi d'une demande de résiliation,0,0,0.01072961373390558
Connexion,Partager un justificatif du PACS,0,0,0.019432522651406773
Connexion,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",0,0,0.0075107296137339056
Partager un justificatif du PACS,Télécharger un décompte,0,0,0.018354860639021073
Envoi d'un document,Envoi carte TP par mail,0,0,0.009160864785635764
Connexion SSO,"Contactez nous : via message (Mon adhésion, Autres)",0,0,0.007892057026476579
"Contactez nous : via message (Mon adhésion, Autres)",Télécharger un décompte,0,0,0.015503875968992248
Connexion,Changer les coordonnées bancaire,0,0,0.014425369575584168
Changer les coordonnées bancaire,Changement de Mot de passe,0,0,0.014933333333333333
Signature électronique d'un mandat sepa,Télécharger le certificat d'adhésion,0,0,0.00105736188210415
Changer ses informations personnel,Changer les coordonnées bancaire,0,0,0.015
Connexion,Envoi carte TP par mail,0,0,0.010848831664282308
Signature électronique d'un mandat sepa,Ouverture d'un document contractuel,0,0,0.015331747290510176
Télécharger un décompte,Ouverture d'un document contractuel,0,0,0.019016697588126158
Signature électronique d'un mandat sepa,demander un renvoi par mail d'échéancier,0,0,0.000528680941052075
Envoi d'une réclamation,Contactez nous : via message (Ma carte tiers-payant),0,0,0.0056179775280898875
Connexion,Changer l'organisme de rattachement sécu. Social,0,0,0.010848831664282308
Changer les coordonnées bancaire,Partager un justificatif du PACS,0,0,0.011733333333333333
Exporter remboursement,Envoi carte TP par mail,0,0,0.002531645569620253
Exporter remboursement,Partager un justificatif du PACS,0,0,0.012939521800281293
Connexion,Signature électronique d'un mandat sepa,0,0,0.016571292322365285
Connexion SSO,SSO Disconnect,0,0,0.017820773930753563
Connexion,Contactez nous : via message (Ma télétransmission - rattachement automatique avec votre Régime Obligatoire),0,0,0.0004768717215069146
Partager un justificatif du PACS,Contactez nous : via message (Ma télétransmission - rattachement automatique avec votre Régime Obligatoire),0,0,0.002719238613188307
Partager un justificatif du PACS,Contactez nous : via message (Ma télétransmission - rattachement automatique avec votre Régime Obligatoire),0,0,0.002719238613188307
Partager un justificatif du PACS,Contactez nous : via message (Ma télétransmission - rattachement automatique avec votre Régime Obligatoire),0,0,0.002719238613188307
Téléchargement de la carte de tiers payant,Changement de Mot de passe,0,0,0.005339028296849973
Connexion,Signature électronique d'un mandat sepa,0,0,0.016571292322365285
Connexion,demander un renvoi par mail d'échéancier,0,0,0.008583690987124463
Validation MFA,"Changer les coordonnées bancaire, changement de RIB pour les remboursements",0,0,0.018024184348619667
Envoi d'un document,"Changer les coordonnées bancaire, changement de RIB pour les remboursements",0,0,0.006962257237083181
"Changer les coordonnées bancaire, changement de RIB pour les cotisations",Ouverture d'un document contractuel,0,0,0.015817223198594025
Validation MFA,Envoi d'un message,0,0,0.015058179329226557
Envoi d'un message,Exporter remboursement,0,0,0.00663716814159292
Envoi d'un document,Changer l'organisme de rattachement sécu. Social,0,0,0.01282521069989007
Validation MFA,demander un renvoi par mail d'échéancier,0,0,0.016655258955053615
Connexion,Partager un justificatif du PACS,0,0,0.019432522651406773
Partager un justificatif du PACS,demander un renvoi par mail d'échéancier,0,0,0.0020394289598912306
Envoi d'une réclamation,Changer l'organisme de rattachement sécu. Social,0,0,0.0033707865168539327
Connexion,Changer l'organisme de rattachement sécu. Social,0,0,0.010848831664282308
Connexion en tant que,envoi d'une demande de résiliation,0,0,0.004543389368468878
envoi d'une demande de résiliation,Téléchargement de la carte de tiers payant,0,0,0.0014124293785310734
Téléchargement de la carte de tiers payant,Envoi d'une réclamation,0,0,0.0
Envoi d'une réclamation,Exporter remboursement,0,0,0.019101123595505618
Changer ses informations personnel,Changer l'organisme de rattachement sécu. Social,0,0,0.0022222222222222222
Exporter remboursement,Signature électronique d'un mandat sepa,0,0,0.007032348804500703
Envoi d'un document,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",0,0,0.007695126419934042
"Changer les coordonnées bancaire, changement de RIB pour les remboursements",Partager un justificatif du PACS,0,0,0.011247443762781187
Changer ses informations personnel,Changer les coordonnées bancaire,0,0,0.015
Connexion,"Changer les coordonnées bancaire, changement de RIB pour les remboursements",0,0,0.008702908917501192
